MaxT,MinT,WindSpeed,Humidity 
31.7,22.1,1.3,59.2
32.2,21.7,1.5,62.9
32.1,21.6,1.4,67
32.6,22.3,1.6,62.9
32,22.6,1.6,56.6
32.3,22.7,1.6,51.6
32.1,21.4,1.7,57
33.5,21.4,1.5,55.6
34,22.1,1.5,58.2
33.6,21.7,1.2,50.2
33.5,21.3,1.3,49.5
33.1,21.3,1.6,55.6
33,21.4,1.7,53.8
34.7,21.2,1.1,58.2
35.3,20.5,1.4,63.1
34.7,21.3,1.5,48.1
34.1,20.6,1.3,53.7
33,21.7,1.4,59.1
33.5,22.6,1.8,55.3
33.2,25,2.3,59.8
32.7,23.9,2.3,62.9
33.7,24.9,1.6,61.4
34.3,24.8,1.8,60.3
34.3,24.7,2,58.5
33.9,24.9,2.1,61.9
34.2,25.3,2.8,67.4
34.2,25,3,67.7
32.5,24.6,2.1,80.5
31.7,24.6,2.2,79
31.4,24,1.3,74.4
28.5,23.7,1.3,79.7
30.1,24.6,1.7,76.4
33,24.3,1.5,73.9
33.7,24.9,1.9,68.3
34.1,25.1,2,59.8
33.4,24.3,1.8,65.4
33.7,25,2.2,71.2
31.7,24.2,2.5,68.7
34.4,25.4,1.7,62.2
34.2,25.4,2.3,64.3
34.8,26.1,2.2,57.8
34.4,26.4,2.3,66.5
33.6,25.7,3.1,63.4
33.3,25,2.9,72.1
33.5,25.5,1.4,65.8
34.3,24.7,1.8,58.4
34.5,25.3,2.2,66.2
35.1,23.1,2.1,60.4
36.2,25,2,56.7
35.9,25.2,2.3,55.2
35.7,26.2,1.8,57.2
35.3,25.8,2,53.1
35.5,26.6,2.6,60.4
35.3,26.9,2.3,67.3
36.4,26.8,2.5,56.1
37.2,27.2,2.6,63.1
37.8,27.8,2.4,51.6
37.9,27.5,2.4,49.8
38,26.6,3,52.8
38.1,26.8,3.3,50.3
36.5,27.3,2.7,48.6
35.3,27.6,2.3,56.5
35,26.2,2.2,60.2
35.5,26.7,2.3,55.9
36,27.1,2.5,55.9
35.4,27.1,3.2,58.4
36.1,27.7,2.9,55
37.2,28.3,3.2,48.4
39.4,28.8,3.5,45
41.5,28.6,3.7,49.9
42.9,28.1,4.4,46.7
41.8,28,4,45.9
41.3,30.1,4.9,47.5
40,29.4,4.1,46.6
37.4,28.9,4.1,45.8
37.7,29,3.4,47.5
40.3,28.4,3.8,52.6
39.3,29.1,4.1,48.3
38.3,28.7,3.8,46.1
38.9,28.6,3.9,47.3
38.1,28.5,3.9,54.2
41.3,29.3,3.7,48.1
43.2,29.6,4.7,53.4
42.6,30.4,4.7,41.7
43.7,30.2,5.5,48.7
43.5,29.6,4.9,44.9
43.1,30.3,4.9,46.4
42.7,30,4.6,45.9
41.7,29.4,3.7,46
40.7,29.6,3.7,48.2
39.5,28.8,3.9,54.3
37.5,27.8,3.5,63.5
38.4,27.6,3.4,59.5
37.4,28.6,3,62.6
38.7,28.3,3.9,61.7
37.7,28.1,4.3,67.2
38.4,27.6,4.1,57.1
38,28.1,3.6,55.7
37.2,30,3.8,49.8
38.4,28,3.8,58.2
36.4,26.5,3.9,62.8
36.6,28.3,3.5,68
36.4,28.4,4,63.8
39.5,28.7,5,65.3
36.7,28.5,4.7,57.8
36.3,27.2,4.5,67.1
33.3,26.5,4.2,65.9
34.3,27.1,5.5,67
33.8,27,5.5,66.8
32.2,27.1,5.8,64.4
32.2,25.2,3.7,72.9
30.4,25.6,5.7,72.7
33.8,27.2,6,64.9
33.7,28.4,6.3,67.2
35.2,28.2,5.7,62.2
36.2,29.3,5.4,61.9
35.4,28.9,5.2,62.4
36.7,28.9,5.5,64.3
37.5,28.5,5.2,61.9
37.9,28.9,4.6,70.1
36.8,28.2,4.6,63.2
34.4,28.4,5.1,70.1
34.8,27.9,4.4,64.4
34.4,26.3,5.5,73.1
32.9,26.3,4.8,70.4
33.2,26.4,4.6,74.7
31.3,25.8,4.9,72.2
33.8,25.9,4.3,73.5
34.6,27.9,5,63
34.6,27.8,5.1,71.1
35.9,27.6,5.4,64.9
35.7,28.3,4.7,61.8
36.4,28.6,4.9,75.3
32.9,28.6,5.1,70
